# ownership.tsv — the one-owner-per-datum ledger for the strict transliteration.
#
# TRACKED, R1-CLEAN. Like symbols.toml, this holds ONLY obfuscated identifiers
# and JVM type descriptors (structural facts) — never decompiled source.
#
# One row per Java STATIC field of a ported class. Static-ness is read from the
# `static` flag in `javap -p` on the baseline bytecode; reviewed field names come
# from java/reconstruction/symbols.toml. A Java static has exactly one persistent
# Rust owner (no second copy, no copy-in/copy-out): the *State struct + rust_name
# named here is that sole home. Instance fields of the singletons (GameMIDlet,
# GameLoop) are NOT static and are not listed here, but live on the same *State.
#
# obf class map (the obfuscated .class each java_class was recovered from):
#   GameMIDlet  -> rpg/GameMIDlet.class  (the only class outside the default package)
#   GameLoop    -> bs.class
#   GameState   -> n.class
#   BaseCanvas  -> r.class
#   TitleScreen -> bg.class
#   GameScreen  -> as.class   (PARTIAL: the geometry statics + the case-9 main-menu
#                              dispatch; the world/HUD/other-screen statics deferred)
#   Menu        -> cb.class   (no rows: the abstract menu base has NO static fields —
#                              every field is per-instance, carried by MainMenuState.base)
#   MainMenu    -> bf.class
#   AssetCache  -> ce.class   (PARTIAL: the title/logo render-path statics + the
#                              main-menu frame atlas `menuFrames`)
#   FontManager -> bh.class   (PARTIAL: the title text path's fonts + labels, plus the
#                              main-menu item labels + Ok/Exit soft-key labels)
#   StringTable -> cj.class
#   BitmapFont  -> az.class   (no rows: no static mutable state — its `crcTable`
#                              is a `static final` constant, reproduced by a fn;
#                              a BitmapFont's data is per-instance, modelled by the
#                              per-font BitmapFontState the FontManager rows own)
#   WrapFont    -> b.class    (no rows: adds no fields — a WrapFont IS a BitmapFont)
#   ByteUtil    -> h.class
#   PngMerger   -> br.class   (no rows: its `crc`/`adler` statics are the shared-
#                              engine deviation, constructed locally — see
#                              docs/TRANSLITERATION.md, accepted deviations)
#   Directions  -> u.class    (interface of static-final constant tables → module
#                              consts; owner token is the `directions` module)
#   AppConfig   -> w.class
#   Debug       -> x.class
#   SaveCipher  -> bq.class   (no rows: pure static utility, no fields)
#   RmsFile     -> au.class   (no rows: instance class, no static fields)
#   EntityList  -> aq.class   (no rows: instance class, no static fields)
#
# Singleton note (extends the GameMIDlet/GameLoop instance-field note above):
# StringTable's one static `a:Lcj;` (`instance`) is eagerly `new StringTable()` at
# class load — the always-present singleton. Its Rust owner IS the StringTableData
# struct (Game.string_table); that singleton's instance fields (`blob`,
# `localeIndex`, and the `locales` final array) live on StringTableData and, like
# the other singletons' instance fields, are not listed as separate rows.
# FontManager's six font fields are typed `b` (WrapFont); each is modelled by a
# per-font BitmapFontState. `bigDefault` (`f`) aliases `bigBlack` (`d`) — the same
# object — so both map to the one Rust owner `big_black` (no second copy).
#
# Columns (tab-separated):
#   java_class          reviewed class name
#   obf                 obfuscated field simple name (as in the bytecode)
#   field               reviewed field name (symbols.toml)
#   descriptor          JVM field type descriptor
#   rust_owner_struct   the *State struct that owns it
#   rust_name           the Rust field name on that struct
#
java_class	obf	field	descriptor	rust_owner_struct	rust_name
GameMIDlet	a	instance	Lrpg/GameMIDlet;	ApplicationState	instance
GameLoop	a	gameScreen	Las;	GameLoopState	game_screen
GameLoop	a	instance	Lbs;	GameLoopState	instance
GameLoop	a	frameDelayTable	[I	GameLoopState	frame_delay_table
GameLoop	a	lock	Ljava/lang/Object;	GameLoopState	lock
GameState	a	map	Lae;	GameStateData	map
GameState	a	camTargetX	I	GameStateData	cam_target_x
GameState	b	camTargetY	I	GameStateData	cam_target_y
GameState	c	camX	I	GameStateData	cam_x
GameState	d	camY	I	GameStateData	cam_y
GameState	a	hero	Lao;	GameStateData	hero
GameState	a	classId	B	GameStateData	class_id
GameState	c	arg0	B	GameStateData	arg0
GameState	d	arg1	B	GameStateData	arg1
GameState	e	arg2	B	GameStateData	arg2
GameState	f	storyMapId	B	GameStateData	story_map_id
GameState	g	clearCount	B	GameStateData	clear_count
GameState	h	clearBonusTable	[B	GameStateData	clear_bonus_table
GameState	i	saveKey	[B	GameStateData	save_key
GameState	j	classStartTable	[B	GameStateData	class_start_table
GameState	a	saveSlots	[Ljava/lang/String;	GameStateData	save_slots
GameState	e	screen	I	GameStateData	screen
GameState	b	nextState	B	GameStateData	next_state
GameState	h	pendingHeroState	B	GameStateData	pending_hero_state
GameState	i	pendingHeroFacing	B	GameStateData	pending_hero_facing
GameState	k	switches	[B	GameStateData	switches
GameState	l	flags	[B	GameStateData	flags
GameState	a	classStartFlags	[[Z	GameStateData	class_start_flags
BaseCanvas	g	width	I	BaseCanvasState	width
BaseCanvas	h	height	I	BaseCanvasState	height
BaseCanvas	i	halfW	I	BaseCanvasState	half_w
BaseCanvas	j	halfH	I	BaseCanvasState	half_h
BaseCanvas	b	keepLoadingProgress	Z	BaseCanvasState	keep_loading_progress
BaseCanvas	k	loadProgress	I	BaseCanvasState	load_progress
BaseCanvas	l	loadTotal	I	BaseCanvasState	load_total
BaseCanvas	m	loadPhase	I	BaseCanvasState	load_phase
TitleScreen	a	instance	Lbg;	TitleScreenState	instance
GameScreen	a	width	I	GameScreenState	width
GameScreen	b	worldHeight	I	GameScreenState	world_height
GameScreen	c	centerX	I	GameScreenState	center_x
GameScreen	d	centerY	I	GameScreenState	center_y
GameScreen	n	hudSlots	I	GameScreenState	hud_slots
GameScreen	o	barWidth	I	GameScreenState	bar_width
GameScreen	p	expWidth	I	GameScreenState	exp_width
GameScreen	e	fxTimer	I	GameScreenState	fx_timer
MainMenu	a	panelX	I	MainMenuState	panel_x
MainMenu	b	panelY	I	MainMenuState	panel_y
MainMenu	c	aboutIndex	I	MainMenuState	about_index
MainMenu	d	exitIndex	I	MainMenuState	exit_index
MainMenu	a	singleton	Lbf;	MainMenuState	singleton
MainMenu	c	pendingBuyPrompt	Z	MainMenuState	pending_buy_prompt
MainMenu	d	pendingExitPrompt	Z	MainMenuState	pending_exit_prompt
AssetCache	i	logoFrames	[Ljavax/microedition/lcdui/Image;	AssetCacheState	logo_frames
AssetCache	j	titleBgFrames	[Ljavax/microedition/lcdui/Image;	AssetCacheState	title_bg_frames
AssetCache	k	titleMenuFrames	[Ljavax/microedition/lcdui/Image;	AssetCacheState	title_menu_frames
AssetCache	l	menuFrames	[Ljavax/microedition/lcdui/Image;	AssetCacheState	menu_frames
AssetCache	n	readBuffer	[B	AssetCacheState	read_buffer
FontManager	a	smallBlack	Lb;	FontManagerState	small_black
FontManager	b	smallWhite	Lb;	FontManagerState	small_white
FontManager	c	smallOrange	Lb;	FontManagerState	small_orange
FontManager	d	bigBlack	Lb;	FontManagerState	big_black
FontManager	e	bigWhite	Lb;	FontManagerState	big_white
FontManager	f	bigDefault	Lb;	FontManagerState	big_black
FontManager	g	currentFont	Lb;	FontManagerState	current_font
FontManager	a	bigFontActive	Z	FontManagerState	big_font_active
FontManager	q	titleFooter	[C	FontManagerState	title_footer
FontManager	r	versionText	[C	FontManagerState	version_text
FontManager	a	mainMenuLabels	[[C	FontManagerState	main_menu_labels
FontManager	c	labelExit	[C	FontManagerState	label_exit
FontManager	d	labelOk	[C	FontManagerState	label_ok
StringTable	a	instance	Lcj;	StringTableData	string_table
ByteUtil	a	rng	Ljava/util/Random;	ByteUtilState	rng
Directions	a	elementDamageMultiplier	[[B	directions	ELEMENT_DAMAGE_MULTIPLIER
Directions	a	dirDx	[B	directions	DIR_DX
Directions	b	dirDy	[B	directions	DIR_DY
Directions	a	facingIsHorizontal	[Z	directions	FACING_IS_HORIZONTAL
Directions	c	diagCW	[B	directions	DIAG_CW
Directions	d	diagCCW	[B	directions	DIAG_CCW
Directions	e	rotateCW	[B	directions	ROTATE_CW
Directions	f	rotateCCW	[B	directions	ROTATE_CCW
Directions	g	reverse	[B	directions	REVERSE
AppConfig	a	midlet	Ljavax/microedition/midlet/MIDlet;	AppConfigState	app_properties
AppConfig	a	locales	[Ljava/lang/String;	AppConfigState	locales
AppConfig	a	buyUrl	Ljava/lang/String;	AppConfigState	buy_url
AppConfig	a	menuBuyEnabled	Z	AppConfigState	menu_buy_enabled
AppConfig	b	exitBuyEnabled	Z	AppConfigState	exit_buy_enabled
AppConfig	c	fullVersion	Z	AppConfigState	full_version
AppConfig	a	localeEnabled	[Z	AppConfigState	locale_enabled
Debug	a	fullVersion	Z	DebugState	full_version
